Model,Training Step,Seed,ICL
EleutherAI/pythia-14m,step2,3,-0.1605377197265625
EleutherAI/pythia-14m,step2,3,0.20656871795654297
EleutherAI/pythia-14m,step2,3,-0.18426513671875
EleutherAI/pythia-14m,step2,3,0.5248079299926758
EleutherAI/pythia-14m,step2,3,1.4481868743896484
EleutherAI/pythia-14m,step2,3,-0.1802082061767578
EleutherAI/pythia-14m,step2,3,0.46414661407470703
EleutherAI/pythia-14m,step2,3,-1.2375307083129883
EleutherAI/pythia-14m,step2,5,0.2553672790527344
EleutherAI/pythia-14m,step2,5,-1.2477130889892578
EleutherAI/pythia-14m,step2,5,0.47484779357910156
EleutherAI/pythia-14m,step2,5,0.0381317138671875
EleutherAI/pythia-14m,step2,5,-0.031726837158203125
EleutherAI/pythia-14m,step2,5,-0.32537078857421875
EleutherAI/pythia-14m,step2,5,1.506866455078125
EleutherAI/pythia-14m,step2,5,0.950587272644043
EleutherAI/pythia-14m,step2,5,-1.0452308654785156
EleutherAI/pythia-14m,step2,5,3.3305883407592773
